ep_id,podc_id,ep_title,ep_audio_lenth,ep_pub_date
b89f11e3c36b45bf825183aabe659e00        ,5867f50baec54c16a5f60723b76a2e03        ,PFB 013 – 2017 NFL Week 13 Plays                                      ,2185,2017-12-01
4117d7314ae14251b2e1a23629b50c01        ,4ab45ab1edb140bebdc0b5b45fc43257        ,AlibiCast #90: No Pun Intended                                        ,1433,2017-12-01
bd06f9a938f340acb5e558b0e038b651        ,8ea458e888784a7792d870e5a754598c        ,Sugar Industry False PR and Facts                                     ,2706,2017-12-02
b3ad771269164df8b5fe78d9b3e50f5b        ,c2089afc563a41afb00353d2a1359db6        ,The Drive is Live with Tom Crawford at Reno's East!                   ,8766,2017-12-01
588de3f6285e4ea387df07abf7609a1f        ,c2089afc563a41afb00353d2a1359db6        ,The Spartan Beat with Darien Harris!: Matt Costello and Ike Reese     ,2834,2017-12-01
84dd4a0fad64492bb617f42c6153b22d        ,98d2cf3d8aa1497bbec076a8e937aaf6        ,BUFF EATS TT                                                          ,2103,2017-12-01
9cfb2b115ae24bd5a41ff277579009bd        ,a24ee443f03440d7844cf9ca71f7ff2d        ,Rach's Donald Trump Interview                                         ,166,2017-12-01
e999a2e7293d4d3880ec123cb7ab5cc8        ,a24ee443f03440d7844cf9ca71f7ff2d        ,Daryl Braithwaite - The Horses Lost Sessions                          ,177,2017-12-01
6857891b4d0d40ab880e3fc3adc38914        ,a24ee443f03440d7844cf9ca71f7ff2d        ,Johnno's Prize Winner Text                                            ,166,2017-12-01
0fb14dadb9f141a7b5456d8948680139        ,83f8a0eb63fd4f689c53f50bbfa3e689        ,1130-SFHSS Show                                                       ,4977,2017-12-01
9c73da9afbe84938aac93587e48889c8        ,bd615f73c32f4339bfed9f8d2f98c8e6        ,"Thursday, 11.30.17 - The Church of Lazlo Podcast                      ",5286,2017-12-01
23636eb7fd604815b74798de8d0f799c        ,83f8a0eb63fd4f689c53f50bbfa3e689        ,Thursday: Fight Night Hour 2                                          ,2445,2017-12-01
f274c660cf84486596989db31744b734        ,83f8a0eb63fd4f689c53f50bbfa3e689        ,Thursday: Fight Night Hour 1                                          ,2362,2017-12-01
