podc_id,auth_id,podc_title,podc_language
8d62d3880db2425b890b986e58aca393        ,1                                       ,"Ecommerce Conversations, by Practical Ecommerce                                                     ",English             
cbbefd691915468c90f87ab2f00473f9        ,2                                       ,Eat Sleep Code Podcast                                                                              ,English             
73626ad1edb74dbb8112cd159bda86cf        ,3                                       ,SoundtrackAlley                                                                                     ,English             
0f50631ebad24cedb2fee80950f37a1a        ,4                                       ,The Tech M&A Podcast                                                                                ,English             
69580e7b419045839ca07af06cf0d653        ,5                                       ,"The Tech Informist - For fans of Apple, Google, Microsoft & other technology                        ",English             
459030f5a94040f99f86c8d06186fdcb        ,6                                       ,TechNative Podcasts                                                                                 ,English             
278678e49c60458dbb2bc82036578ccf        ,7                                       ,Sermons from Living Water Dayton                                                                    ,English             
f4d85755dd6048978f27681ed59a20fe        ,8                                       ,"Social Media, Mobility, Analytics, Cloud: Tech Show! SMACtalk                                       ",English             
7b131a464c4b4f34a8f62de738417fc4        ,9                                       ,Radio Leo (Video LO)                                                                                ,English             
7bbb6386cacb45518f2e5b2427c4cbb1        ,10                                      ,Digital India                                                                                       ,English             
2ec465c2fed8445d983e6c56ba8cc4f8        ,11                                      ,Digital Health Today                                                                                ,English             
6ede8bd3b3684a149247ea805db680fe        ,12                                      ,Drum and Bass Electronic Trap Dubstep Music / EDM Radio - DnB  Bass LIVE : Computers (Live) iTunes  ,English             
3e75bf3312844c5c9fb2c55f33262161        ,13                                      ,Fire in the Hole Podcast                                                                            ,English             
a274acd5ab774705a0172e6800f353ef        ,14                                      ,Freedom Scientific FSCast                                                                           ,English             
e664361b488c47f28149db2a82cecd2a        ,15                                      ,Far From.TV                                                                                         ,English             
2230ace0a4e74ccd9f75f544cc37fdd2        ,16                                      ,FLOSS Weekly (Video HD)                                                                             ,English             
b4301b936c224d6caa0c590289ade3b6        ,17                                      ,This is Marketing Podcast                                                                           ,English             
06da35e627864985a2277599d835d0c5        ,18                                      ,Paranoria TX                                                                                        ,English             
f4601023098d43849826696815b42f65        ,19                                      ,Practical Operations Podcast Episode Feed                                                           ,English             
3f2221dfd61b41a8908818b6f030f134        ,20                                      ,Packet Pushers - Weekly Show                                                                        ,English             
bc45d60c2e3548729d639b95210e912c        ,21                                      ,Rocket                                                                                              ,English             
8c14beaec5db469db36ade1ef6e9482f        ,22                                      ,Roadshow Reviews (HQ)                                                                               ,English             
d1cd695bd5ff451895529453e06ec8c2        ,23                                      ,Roadshow Originals (HD)                                                                             ,English             
7ea98a393b8c48c49ded7a25fbe57647        ,24                                      ,Roadshow Reviews (HD)                                                                               ,English             
110e32cf7fd348c18185a520047d93d0        ,25                                      ,The MT Show                                                                                         ,English             
b9c67618d27745129eeb864f4170d413        ,26                                      ,Two Guys Talking Wine                                                                               ,English             
70b3ad60a5fd47e0a4aec2b789238d5c        ,28                                      ,Danger Dan's Talk Shop                                                                              ,English             
